# energy (eV)	DOS
0.000000000000000000e+00	9.169493495482521439e+01
6.999999999999886313e-01	1.430387356962507329e+04
1.399999999999977263e+00	1.142915553175598849e+06
2.099999999999965894e+00	2.737565580444556847e+07
2.799999999999954525e+00	4.440970049696754813e+08
3.499999999999943157e+00	5.742818291125338554e+09
4.199999999999931788e+00	6.804738886938615417e+10
4.899999999999920419e+00	6.991542910310870361e+11
5.599999999999909051e+00	6.804768524943333984e+12
6.299999999999897682e+00	6.288261812028611719e+13
6.999999999999886313e+00	5.635458197632463750e+14
7.699999999999874944e+00	4.806127416393479000e+15
8.399999999999863576e+00	4.036349404609221600e+16
9.099999999999852207e+00	3.334232405235043840e+17
9.799999999999840838e+00	2.666952253811959296e+18
1.049999999999982947e+01	2.152041386371636838e+19
1.119999999999981810e+01	1.663210616982885499e+20
1.189999999999980673e+01	1.297741276296974959e+21
1.259999999999979536e+01	1.011320714479265854e+22
1.329999999999978400e+01	8.148109138700995553e+22
1.399999999999977263e+01	6.652386332655016676e+23
1.469999999999976126e+01	5.768124587650177844e+24
1.539999999999974989e+01	5.381977742320149890e+25
1.609999999999973852e+01	5.754946095924999408e+26
1.679999999999972715e+01	6.988516693200929498e+27
1.749999999999971578e+01	9.470430120901504334e+28
1.819999999999970441e+01	1.316180812712150128e+30
1.889999999999969305e+01	1.743592316451715344e+31
1.959999999999968168e+01	2.024331573324027080e+32
2.029999999999967031e+01	1.976329487867894527e+33
2.099999999999965894e+01	1.506389160104478774e+34
2.169999999999964757e+01	8.839607373546111495e+34
2.239999999999963620e+01	3.864947672782466597e+35
2.309999999999962483e+01	1.243229359307757072e+36
2.379999999999961346e+01	2.883213628904255358e+36
2.449999999999960210e+01	4.788078207068434834e+36
2.519999999999959073e+01	5.637225239418755113e+36
2.589999999999957936e+01	4.678123829186392940e+36
2.659999999999956799e+01	2.724858566709280604e+36
2.729999999999955662e+01	1.108983174541904747e+36
2.799999999999954525e+01	3.196807479431599399e+35
2.869999999999953388e+01	6.509286375307209404e+34
2.939999999999952252e+01	9.419683452535964775e+33
3.009999999999951115e+01	9.998853836501143871e+32
3.079999999999949978e+01	8.269557550828733318e+31
3.149999999999948841e+01	5.483506427317484494e+30
3.219999999999947704e+01	3.094160942760822742e+29
3.289999999999946567e+01	1.701777153633192398e+28
3.359999999999945430e+01	9.787411374231743185e+26
3.429999999999944293e+01	6.586808471313312437e+25
3.499999999999943157e+01	5.260907812255090113e+24
3.569999999999942020e+01	5.517047267844153064e+23
3.639999999999940883e+01	6.928719967745761450e+22
3.709999999999939746e+01	1.048675783861744330e+22
3.779999999999938609e+01	1.844274927845072175e+21
3.849999999999937472e+01	3.640275263735864361e+20
3.919999999999936335e+01	7.934378177157824512e+19
3.989999999999935199e+01	1.838923410918194790e+19
4.059999999999934062e+01	4.485513029784416768e+18
4.129999999999932925e+01	1.152107958055898496e+18
4.199999999999931788e+01	3.081724968714498560e+17
4.269999999999930651e+01	8.469532516665486400e+16
4.339999999999929514e+01	2.383420642089970000e+16
4.409999999999928377e+01	6.915815616375636000e+15
4.479999999999927240e+01	2.077751387010254250e+15
4.549999999999926104e+01	6.281003893838957500e+14
4.619999999999924967e+01	1.801850915047515625e+14
4.689999999999923830e+01	5.605505797882632812e+13
4.759999999999922693e+01	1.924027235846476172e+13
4.829999999999921556e+01	6.229221652225420898e+12
4.899999999999920419e+01	1.732663516061218750e+12
4.969999999999919282e+01	5.009926159972339478e+11
5.039999999999918145e+01	1.998796965218007202e+11
5.109999999999917009e+01	8.224717217218955994e+10
5.179999999999915872e+01	2.430904138953934860e+10
5.249999999999914735e+01	5.368715746096652985e+09
5.319999999999913598e+01	1.224959235767879486e+09
5.389999999999912461e+01	8.625978905933442116e+08
5.459999999999911324e+01	4.913456023144113421e+08
5.529999999999910187e+01	1.300117908056708723e+08
5.599999999999909051e+01	2.140887356120061502e+07
5.669999999999907914e+01	2.509335819651389029e+06
5.739999999999906777e+01	5.307015311738468008e+05
5.809999999999905640e+01	2.306066049766744953e+06
5.879999999999904503e+01	1.295716247385794297e+06
5.949999999999903366e+01	1.630281531001965050e+05
6.019999999999902229e+01	9.052369837736765476e+03
6.089999999999901092e+01	2.601140598593997311e+02
6.159999999999899956e+01	0.000000000000000000e+00
6.229999999999898819e+01	0.000000000000000000e+00
6.299999999999897682e+01	3.589219755171775432e+03
6.369999999999896545e+01	5.328286370614032421e+02
6.439999999999895408e+01	0.000000000000000000e+00
6.509999999999894271e+01	0.000000000000000000e+00
6.579999999999893134e+01	0.000000000000000000e+00
6.649999999999891998e+01	0.000000000000000000e+00
