'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
0,2,0,0,0,0
0.015,1,0,0,0,0
0.03,1,0,0,0,0
0.045,2,0,0,0,0
0.06,3,0,0,0,0
0.075,3,0,0,0,0
0.09,3,0,0,0,0
0.105,2,0,0,0,0
0.12,2,0,0,0,0
0.135,3,0,0,0,0
0.15,2,0,0,0,0
0.165,3,0,0,0,0
0.18,2,0,0,0,0
0.195,2,0,0,0,0
0.21,3,0,0,0,0
0.225,3,0,0,0,0
0.24,2,0,0,0,0
0.255,1,0,0,0,0
0.27,2,0,0,0,0
0.285,2,0,0,0,0
0.3,1,0,0,0,0
0.315,1,0,0,0,0
0.33,1,0,0,0,0
0.345,3,0,0,0,0
0.36,4,0,0,0,0
0.375,4,0,0,0,0
0.39,4,0,0,0,0
0.405,3,0,0,0,0
0.42,2,0,0,0,0
0.435,3,0,0,0,0
0.45,4,0,0,0,0
0.465,2,0,0,0,0
0.48,2,0,0,0,0
0.495,1,0,0,0,0
0.51,2,0,0,0,0
0.525,1,0,0,0,0
0.54,1,0,0,0,0
0.555,2,0,0,0,0
0.57,2,0,0,0,0
0.585,1,0,0,0,0
0.6,1,0,0,0,0
0.615,3,0,0,0,0
0.63,2,0,0,0,0
0.645,2,0,0,0,0
0.66,2,0,0,0,0
0.675,2,0,0,0,0
0.69,2,0,0,0,0
0.705,2,0,0,0,0
0.72,3,0,0,0,0
0.735,2,0,0,0,0
0.75,1,0,0,0,0
0.765,3,0,0,0,0
0.78,2,0,0,0,0
0.795,3,0,0,0,0
0.81,2,0,0,0,0
0.825,2,0,0,0,0
0.84,2,0,0,0,0
0.855,1,0,0,0,0
0.87,3,0,0,0,0
0.885,2,0,0,0,0
0.9,2,0,0,0,0
0.915,1,0,0,0,0
0.93,2,0,0,0,0
0.945,1,0,0,0,0
0.96,1,0,0,0,0
0.975,1,0,0,0,0
0.99,2,0,0,0,0
1.005,4,0,0,0,0
1.02,3,0,0,0,0
1.035,9,0,0,0,0
1.05,35,0,0,0,0
1.065,34,0,0,0,0
1.08,37,0,0,0,0
1.095,44,0,0,0,0
1.11,64,0,0,0,0
1.125,54,0,0,0,0
1.14,54,0,0,0,0
1.155,57,0,0,0,0
1.17,52,0,0,0,0
1.185,49,0,0,0,0
1.2,48,0,0,0,0
1.215,58,0,0,0,0
1.23,68,0,0,0,0
1.245,68,0,0,0,0
1.26,54,0,0,0,0
1.275,69,0,0,0,0
1.29,82,0,0,0,0
1.305,92,0,0,0,0
1.32,125,0,0,0,0
1.335,153,0,0,0,0
1.35,193,0,0,0,0
1.365,204,0,0,0,0
1.38,234,0,0,0,0
1.395,262,0,0,0,0
1.41,315,0,0,0,0
1.425,319,0,0,0,0
1.44,358,0,0,0,0
1.455,396,0,0,0,0
1.47,452,0,0,0,0
1.485,423,0,0,0,0
1.5,482,0,0,0,0
1.515,512,0,0,0,0
1.53,458,0,0,0,0
1.545,473,0,0,0,0
1.56,438,0,0,0,0
1.575,459,0,0,0,0
1.59,467,0,0,0,0
1.605,445,0,0,0,0
1.62,463,0,0,0,0
1.635,456,0,0,0,0
1.65,479,0,0,0,0
1.665,483,0,0,0,0
1.68,491,0,0,0,0
1.695,452,0,0,0,0
1.71,418,0,0,0,0
1.725,401,0,0,0,0
1.74,412,0,0,0,0
1.755,426,0,0,0,0
1.77,446,0,0,0,0
1.785,435,0,0,0,0
1.8,401,0,0,0,0
1.815,418,0,0,0,0
1.83,403,0,0,0,0
1.845,411,0,0,0,0
1.86,426,0,0,0,0
1.875,418,0,0,0,0
1.89,419,0,0,0,0
1.905,407,0,0,0,0
1.92,395,0,0,0,0
1.935,385,0,0,0,0
1.95,412,0,0,0,0
1.965,411,0,0,0,0
1.98,385,0,0,0,0
1.995,392,0,0,0,0
2.01,427,0,0,0,0
2.025,398,0,0,0,0
2.04,381,0,0,0,0
2.055,379,0,0,0,0
2.07,395,0,0,0,0
2.085,397,0,0,0,0
2.1,388,0,0,0,0
2.115,368,0,0,0,0
2.13,373,0,0,0,0
2.145,366,0,0,0,0
2.16,381,0,0,0,0
2.175,385,0,0,0,0
2.19,398,0,0,0,0
