# T (K)	entropy (eV/K)	heat capacity (eV/K)
1.000000000000000000e+01	3.893563136937041951e-04	0.000000000000000000e+00
2.000000000000000000e+01	3.893563136937041951e-04	8.847689273837225236e-174
3.000000000000000000e+01	3.893563136937041951e-04	2.479325195531356240e-115
4.000000000000000000e+01	3.893563136937041951e-04	3.501862548279354458e-86
5.000000000000000000e+01	3.893563136937041951e-04	9.781037287396796150e-69
6.000000000000000000e+01	3.893563136937041951e-04	3.908045868990361203e-57
7.000000000000000000e+01	3.893563136937042493e-04	7.211427429166138698e-49
8.000000000000000000e+01	3.893563136937041951e-04	1.101548736525928920e-42
9.000000000000000000e+01	3.893563136937042493e-04	6.913094882175134138e-38
1.000000000000000000e+02	3.893563136937041951e-04	4.657325729074277339e-34
1.100000000000000000e+02	3.893563136937041951e-04	6.203072412716570879e-31
1.200000000000000000e+02	3.893563136937041951e-04	2.453255245103970180e-28
1.300000000000000000e+02	3.893563136937042493e-04	3.817199989056315613e-26
1.400000000000000000e+02	3.893563136937042493e-04	2.856450739649318971e-24
1.500000000000000000e+02	3.893563136937041951e-04	1.190943956801239305e-22
1.600000000000000000e+02	3.893563136937041951e-04	3.089057778789458551e-21
1.700000000000000000e+02	3.893563136937041951e-04	5.422755886915057059e-20
1.800000000000000000e+02	3.893563136937042493e-04	6.878724400705534187e-19
1.900000000000000000e+02	3.893563136937044119e-04	6.639252092304530664e-18
2.000000000000000000e+02	3.893563136937054419e-04	5.081389277178388906e-17
2.100000000000000000e+02	3.893563136937127061e-04	3.188595178663326141e-16
2.200000000000000000e+02	3.893563136937511411e-04	1.685873175740006492e-15
2.300000000000000000e+02	3.893563136939279202e-04	7.681465250291267786e-15
2.400000000000000000e+02	3.893563136946390484e-04	3.073295232123661574e-14
2.500000000000000000e+02	3.893563136971836167e-04	1.096840832629510019e-13
2.600000000000000000e+02	3.893563137053925993e-04	3.538696079182282746e-13
2.700000000000000000e+02	3.893563137295506294e-04	1.043815766814729643e-12
2.800000000000000000e+02	3.893563137950562273e-04	2.842493590033060881e-12
2.900000000000000000e+02	3.893563139601382054e-04	7.206095284931989785e-12
3.000000000000000000e+02	3.893563143496943770e-04	1.713044179873023544e-11
3.100000000000000000e+02	3.893563152160907956e-04	3.842735560502487204e-11
3.200000000000000000e+02	3.893563170425457442e-04	8.179131552051943922e-11
3.300000000000000000e+02	3.893563207104187157e-04	1.659848292980205544e-10
3.400000000000000000e+02	3.893563277580358172e-04	3.225338244230678385e-10
3.500000000000000000e+02	3.893563407651726344e-04	6.023737214963853268e-10
3.600000000000000000e+02	3.893563639034584097e-04	1.084914741831590204e-09
3.700000000000000000e+02	3.893564036981480344e-04	1.889994826616305429e-09
3.800000000000000000e+02	3.893564700503610379e-04	3.193156031279526047e-09
3.900000000000000000e+02	3.893565775704995553e-04	5.244614006855213191e-09
4.000000000000000000e+02	3.893567472727482281e-04	8.392191839613869687e-09
4.100000000000000000e+02	3.893570086771360557e-04	1.310836357093739042e-08
4.200000000000000000e+02	3.893574023595735081e-04	2.002140594164054973e-08
4.300000000000000000e+02	3.893579829817292773e-04	2.995049764546257437e-08
4.400000000000000000e+02	3.893588228219269890e-04	4.394444272781252547e-08
4.500000000000000000e+02	3.893600158158589297e-04	6.332353776548134939e-08
4.600000000000000000e+02	3.893616821024029496e-04	8.972395939522925259e-08
4.700000000000000000e+02	3.893639730557726139e-04	1.251439266139564215e-07
4.800000000000000000e+02	3.893670767712445815e-04	1.719907963872359043e-07
4.900000000000000000e+02	3.893712239583437961e-04	2.331281849827930593e-07
5.000000000000000000e+02	3.893766941831529435e-04	3.119221727544845863e-07
5.100000000000000000e+02	3.893838223907489064e-04	4.122856467820816963e-07
5.200000000000000000e+02	3.893930056299960661e-04	5.387198622617522107e-07
5.300000000000000000e+02	3.894047098962545063e-04	6.963523570598565217e-07
5.400000000000000000e+02	3.894194770031112786e-04	8.909704306964372803e-07
5.500000000000000000e+02	3.894379313920397385e-04	1.129049494924269944e-06
5.600000000000000000e+02	3.894607867888701678e-04	1.417775713418069093e-06
5.700000000000000000e+02	3.894888526179837111e-04	1.765062468241112226e-06
5.800000000000000000e+02	3.895230400890294987e-04	2.179560316233103783e-06
5.900000000000000000e+02	3.895643678764865560e-04	2.670660225115184764e-06
6.000000000000000000e+02	3.896139673192741855e-04	3.248490003239369557e-06
6.100000000000000000e+02	3.896730870756081656e-04	3.923903955352070811e-06
6.200000000000000000e+02	3.897430971771059468e-04	4.708465906891891488e-06
6.300000000000000000e+02	3.898254924355103396e-04	5.614425839170467296e-06
6.400000000000000000e+02	3.899218951650668509e-04	6.654690465811316566e-06
6.500000000000000000e+02	3.900340571933229262e-04	7.842788156078996331e-06
6.600000000000000000e+02	3.901638611427143315e-04	9.192828672710991121e-06
6.700000000000000000e+02	3.903133209745697193e-04	1.071945824046094067e-05
6.800000000000000000e+02	3.904845817959634808e-04	1.243781049699944352e-05
6.900000000000000000e+02	3.906799189380347204e-04	1.436345390060057670e-05
7.000000000000000000e+02	3.909017363218838669e-04	1.651233617987485239e-05
7.100000000000000000e+02	3.911525641348669383e-04	1.890072641056361660e-05
7.200000000000000000e+02	3.914350558460013619e-04	2.154515529405267001e-05
7.300000000000000000e+02	3.917519845942220411e-04	2.446235419283308024e-05
7.400000000000000000e+02	3.921062389873946827e-04	2.766919345069393586e-05
7.500000000000000000e+02	3.925008183532886167e-04	3.118262049104068991e-05
7.600000000000000000e+02	3.929388274861736691e-04	3.501959814643430422e-05
7.700000000000000000e+02	3.934234709343331464e-04	3.919704362724227861e-05
7.800000000000000000e+02	3.939580468746546821e-04	4.373176848815586796e-05
7.900000000000000000e+02	3.945459406205787658e-04	4.864041989915097395e-05
8.000000000000000000e+02	3.951906178091300968e-04	5.393942347314346675e-05
8.100000000000000000e+02	3.958956173115689447e-04	5.964492784690024360e-05
8.200000000000000000e+02	3.966645439104438879e-04	6.577275115552519750e-05
8.300000000000000000e+02	3.975010607835537287e-04	7.233832948475969087e-05
8.400000000000000000e+02	3.984088818326149569e-04	7.935666733016204016e-05
8.500000000000000000e+02	3.993917638913180106e-04	8.684229003864408212e-05
8.600000000000000000e+02	4.004534988440330802e-04	9.480919815655031125e-05
8.700000000000000000e+02	4.015979056827335730e-04	1.032708235601311619e-04
8.800000000000000000e+02	4.028288225258245094e-04	1.122399871995994589e-04
8.900000000000000000e+02	4.041500986185488586e-04	1.217288582476177606e-04
9.000000000000000000e+02	4.055655863305677945e-04	1.317489144077669801e-04
9.100000000000000000e+02	4.070791331622308860e-04	1.423109031089467410e-04
9.200000000000000000e+02	4.086945737670519101e-04	1.534248032884507446e-04
9.300000000000000000e+02	4.104157219940164593e-04	1.650997874503018633e-04
9.400000000000000000e+02	4.122463629496848567e-04	1.773441836769502108e-04
9.500000000000000000e+02	4.141902450766299869e-04	1.901654372722234821e-04
9.600000000000000000e+02	4.162510722416758267e-04	2.035700717220273557e-04
9.700000000000000000e+02	4.184324958247055606e-04	2.175636486771281429e-04
9.800000000000000000e+02	4.207381067965752547e-04	2.321507266898537231e-04
9.900000000000000000e+02	4.231714277729369911e-04	2.473348184738567105e-04
1.000000000000000000e+03	4.257359050296186868e-04	2.631183465034138630e-04
1.010000000000000000e+03	4.284349004646498911e-04	2.795025968258949066e-04
1.020000000000000000e+03	4.312716834921355002e-04	2.964876710279119561e-04
1.030000000000000000e+03	4.342494228539627780e-04	3.140724363716564040e-04
1.040000000000000000e+03	4.373711783368466302e-04	3.322544742025071028e-04
1.050000000000000000e+03	4.406398923844481231e-04	3.510300268211076773e-04
1.060000000000000000e+03	4.440583815972787285e-04	3.703939431116867850e-04
1.070000000000000000e+03	4.476293281168067890e-04	3.903396233219637236e-04
1.080000000000000000e+03	4.513552708945825541e-04	4.108589634968759811e-04
1.090000000000000000e+03	4.552385968522783830e-04	4.319423001766764221e-04
